phi,x,y,line_id
1.73,2,2,1
1.73,2.4,6,1
1.73,2.4,10,1
1.73,2.4,14,1
1.73,2.1,18,1
2.73,4.1,2,2
2.73,4.2,6,2
2.73,4.3,10,2
2.73,4.6,14,2
2.73,4.5,18,2
3.73,6.5,2,3
3.73,6.1,6,3
3.73,6.0,10,3
3.73,6.3,14,3
3.73,7.0,18,3
4.73,9.0,2,4
4.73,8.6,4,4
4.73,8.1,6,4
4.73,7.9,8,4
4.73,7.7,10,4
4.73,7.8,12,4
4.73,8.3,14,4
4.73,9.0,16,4
4.73,9.7,18,4
5.73,12.1,2,5
5.73,11.9,3,5
5.73,11.2,4,5
5.73,10.6,5,5
5.73,10.0,6,5
5.73,9.5,7,5
5.73,9.2,8,5
5.73,9.0,9,5
5.73,8.8,10,5
5.73,9.0,11,5
5.73,9.2,12,5
5.73,9.5,13,5
5.73,10.1,14,5
5.73,10.7,15,5
5.73,11.4,16,5
5.73,12.1,17,5
5.73,12.5,18,5
6.73,16.5,2,6
6.73,16.7,3,6
6.73,17.5,4,6
6.73,18.5,5,6
6.73,19.5,6,6
6.73,20.3,7,6
6.73,19.6,14,7
6.73,18.7,15,7
6.73,17.6,16,7
6.73,16.6,17,7
6.73,16.0,18,7
7.73,19.7,2,8
7.73,20.0,3,8
7.73,20.3,4,8
7.73,20.7,5,8
7.73,21.0,6,8
7.73,21.3,7,8
7.73,21.6,8,8
7.73,21.7,9,8
7.73,21.8,10,8
7.73,21.7,11,8
7.73,21.5,12,8
7.73,21.2,13,8
7.73,20.9,14,8
7.73,20.4,15,8
7.73,19.9,16,8
7.73,19.5,17,8
7.73,19.1,18,8
8.73,21.8,2,9
8.73,22.2,4,9
8.73,22.5,6,9
8.73,22.9,8,9
8.73,23.0,10,9
8.73,22.8,12,9
8.73,22.3,14,9
8.73,21.8,16,9
8.73,21.4,18,9
9.73,23.9,2,10
9.73,24.0,4,10
9.73,24.2,6,10
9.73,24.3,8,10
9.73,24.3,10,10
9.73,24.0,12,10
9.73,23.9,14,10
9.73,23.8,16,10
9.73,23.5,18,10
10.73,25.9,2,11
10.73,25.8,6,11
10.73,25.9,10,11
10.73,25.6,14,11
10.73,25.5,18,11
11.73,27.9,2,12
11.73,27.3,6,12
11.73,27.2,10,12
11.73,27.3,14,12
11.73,27.5,18,12
